Animal,Weight
Gundi,0
Great gerbil,0
Andean spiny rat,0
White-naped weasel,0
Peters's climbing rat,0
Armored spiny rat,0
Dwarf mongoose,0
Cascade golden-mantled ground squirrel,0
Allen's squirrel galago,0
Pallas's squirrel,0
Fire-footed rope squirrel,0
Yellow-faced pocket gopher,0
Golden-backed tree rat,0
Chinchilla-rat,0
Silky anteater,0
Small pika,0
Calabar angwantibo,0
Gray-bellied squirrel,0
White-tufted-ear marmoset,0
Black-shouldered opossum,0
Giant mole-rat,0
Slender loris,0
Desert woodrat,0
Southern plains woodrat,0
Degus,0
Euphrates jerboa,0
Shark Bay Islands barred bandicoot,0
Greater hedgehog tenrec,0
East African mole rat,0
Thomas's rope squirrel,0
European ground squirrel,0
Smith's bush squirrel,0
Fat sand rat,0
Four-toed elephant shrew,0
White-throated woodrat,0
Red squirrel,0
Northern tree shrew,0
Dassie rat,0
Rat,0
Tree shrew,0
Little golden-mantled flying fox,0
Large tree shrew,0
Tuan,0
Senegal galago,0
Bolivian squirrel,0
Plantain squirrel,0
Deppe's squirrel,0
Kintampo rope squirrel,0
Guianan squirrel,0
Hispid cotton rat,0
Shaw's jird,0
Cape mole-rat,0
Lesser hedgehog tenrec,0
Streaked tenrec,0
Damaraland mole-rat,0
Speke's gundi,0
Plains pocket gopher,0
Gray tree rat,0
South African galago,0
Three-striped ground squirrel,0
Brandt's hamster,0
Thirteen-lined ground squirrel,0
Orange-bellied Himalayan squirrel,0
Round-tailed ground squirrel,0
Silvery mole-rat,0
Palestine mole rat,0
Chozchoz,0
Golden-mantled ground squirrel,0
Nelson's antelope squirrel,0
Long-tailed weasel,0
Vinogradov's jird,0
Australian false vampire bat,0
Northern flying squirrel,0
Northern palm squirrel,0
Indian gerbil,0
Vlei rat,0
Banner-tailed kangaroo rat,0
Spectral tarsier,0
Brush-tailed rabbit rat,0
Little ground squirrel,0
Ear-spot squirrel,0
Greater Egyptian jerboa,0
Green bush squirrel,0
African mole rat,0
Siberian flying squirrel,0
Bush rat,0
Collared pika,0
Leadbeater's possum,0
Harris's antelope squirrel,0
Asian garden dormouse,0
Western tarsier,0
Carpentarian rock rat,0
European water vole,0
Philippine tarsier,0
